Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.05,1.0832067793422353,71.7560121450313,0.6992090142238102
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.06,0.7764518776724806,71.7560121450313,0.5224202047457438
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.01,41.223791095428865,235.10131192901102,9.973940056977295
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.02,22.67420426060976,235.10131192901102,6.3359630520054635
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.03,13.19419427943332,235.10131192901102,4.134536235867521
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.035,10.266476619659583,235.10131192901102,3.3723141979790157
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.04,8.086673952700384,235.10131192901102,2.7676269575974546
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.05,5.186228958900028,235.10131192901102,1.8971551923424819
"2nd Gen, high",40,10,20,0.436,0.72,0.0,28.999181114656142,100.88080960934901,1.1820500369072868,1.1821213183571713,513.4188304504953,932.6686120470209,0.06,3.4544076865576137,235.10131192901102,1.3291403391952046
"2nd Gen, low",40,10,20,0.388,0.72,0.0,25.752359774084074,89.55507740856811,1.0502358280467843,1.0502992616625826,497.95671952242446,973.784737567366,0.01,39.71258902344224,208.77449329303957,8.85468686549996
